example_id                                              | status  | run_time        |
./spec/features/merchants/show_spec.rb[1:4:4]           | passed  | 0.09236 seconds |
./spec/features/merchants/show_spec.rb[1:4:5]           | passed  | 0.09505 seconds |
./spec/features/merchants/show_spec.rb[1:4:6]           | passed  | 0.09125 seconds |
./spec/features/merchants/show_spec.rb[1:4:7]           | passed  | 0.09108 seconds |
./spec/helpers/application_helper_spec.rb[1:1:1]        | passed  | 0.00263 seconds |
./spec/helpers/application_helper_spec.rb[1:2:1]        | passed  | 0.00117 seconds |
./spec/helpers/application_helper_spec.rb[1:3:1]        | passed  | 0.00116 seconds |
./spec/helpers/application_helper_spec.rb[1:3:2]        | passed  | 0.0009 seconds  |
./spec/helpers/application_helper_spec.rb[1:3:3]        | passed  | 0.00072 seconds |
./spec/models/customer_spec.rb[1:1:1]                   | passed  | 0.00079 seconds |
./spec/models/customer_spec.rb[1:1:2]                   | passed  | 0.00068 seconds |
./spec/models/customer_spec.rb[1:1:3]                   | passed  | 0.00087 seconds |
./spec/models/customer_spec.rb[1:1:4]                   | passed  | 0.00058 seconds |
./spec/models/customer_spec.rb[1:1:5]                   | passed  | 0.00073 seconds |
./spec/models/customer_spec.rb[1:2:1]                   | passed  | 0.00383 seconds |
./spec/models/customer_spec.rb[1:2:2]                   | passed  | 0.00268 seconds |
./spec/models/customer_spec.rb[1:3:1]                   | passed  | 0.00263 seconds |
./spec/models/customer_spec.rb[1:3:2]                   | passed  | 0.01549 seconds |
./spec/models/customer_spec.rb[1:3:3]                   | passed  | 0.04809 seconds |
./spec/models/discount_invoice_item_spec.rb[1:1:1]      | passed  | 0.00213 seconds |
./spec/models/discount_invoice_item_spec.rb[1:1:2]      | passed  | 0.00143 seconds |
./spec/models/discount_invoice_item_spec.rb[1:1:3]      | passed  | 0.001 seconds   |
./spec/models/discount_spec.rb[1:1:1]                   | passed  | 0.00322 seconds |
./spec/models/discount_spec.rb[1:1:2]                   | passed  | 0.00263 seconds |
./spec/models/discount_spec.rb[1:1:3]                   | passed  | 0.00406 seconds |
./spec/models/discount_spec.rb[1:1:4]                   | passed  | 0.00295 seconds |
./spec/models/discount_spec.rb[1:2:1]                   | passed  | 0.00195 seconds |
./spec/models/discount_spec.rb[1:2:2]                   | passed  | 0.00062 seconds |
./spec/models/discount_spec.rb[1:2:3]                   | passed  | 0.00075 seconds |
